status,run_id,operador,esfera_id,angulo_deg,posicao_m,metodo,fps,tempo_s,excluida,observacoes
DADOS SIMULADOS,S001,A,E1,7.0,0.20,video,60,0.493,false,semente 20260820
DADOS SIMULADOS,S002,A,E1,7.0,0.20,video,60,0.502,false,semente 20260820
DADOS SIMULADOS,S003,A,E1,7.0,0.20,video,60,0.511,false,semente 20260820
DADOS SIMULADOS,S004,A,E1,7.0,0.20,video,60,0.506,false,semente 20260820
DADOS SIMULADOS,S005,B,E1,7.0,0.20,video,60,0.518,false,semente 20260820
DADOS SIMULADOS,S006,B,E1,7.0,0.20,video,60,0.497,false,semente 20260820
DADOS SIMULADOS,S007,B,E1,7.0,0.20,video,60,0.509,false,semente 20260820
DADOS SIMULADOS,S008,B,E1,7.0,0.20,video,60,0.512,false,semente 20260820
DADOS SIMULADOS,S009,A,E1,7.0,0.40,video,60,0.698,false,semente 20260820
DADOS SIMULADOS,S010,A,E1,7.0,0.40,video,60,0.711,false,semente 20260820
DADOS SIMULADOS,S011,A,E1,7.0,0.40,video,60,0.722,false,semente 20260820
DADOS SIMULADOS,S012,A,E1,7.0,0.40,video,60,0.716,false,semente 20260820
DADOS SIMULADOS,S013,B,E1,7.0,0.40,video,60,0.729,false,semente 20260820
DADOS SIMULADOS,S014,B,E1,7.0,0.40,video,60,0.705,false,semente 20260820
DADOS SIMULADOS,S015,B,E1,7.0,0.40,video,60,0.718,false,semente 20260820
DADOS SIMULADOS,S016,B,E1,7.0,0.40,video,60,0.713,false,semente 20260820
DADOS SIMULADOS,S017,A,E1,7.0,0.60,video,60,0.856,false,semente 20260820
DADOS SIMULADOS,S018,A,E1,7.0,0.60,video,60,0.869,false,semente 20260820
DADOS SIMULADOS,S019,A,E1,7.0,0.60,video,60,0.881,false,semente 20260820
DADOS SIMULADOS,S020,A,E1,7.0,0.60,video,60,0.875,false,semente 20260820
DADOS SIMULADOS,S021,B,E1,7.0,0.60,video,60,0.893,false,semente 20260820
DADOS SIMULADOS,S022,B,E1,7.0,0.60,video,60,0.862,false,semente 20260820
DADOS SIMULADOS,S023,B,E1,7.0,0.60,video,60,0.878,false,semente 20260820
DADOS SIMULADOS,S024,B,E1,7.0,0.60,video,60,0.870,false,semente 20260820
DADOS SIMULADOS,S025,A,E1,7.0,0.80,video,60,0.991,false,semente 20260820
DADOS SIMULADOS,S026,A,E1,7.0,0.80,video,60,1.004,false,semente 20260820
DADOS SIMULADOS,S027,A,E1,7.0,0.80,video,60,1.021,false,semente 20260820
DADOS SIMULADOS,S028,A,E1,7.0,0.80,video,60,1.013,false,semente 20260820
DADOS SIMULADOS,S029,B,E1,7.0,0.80,video,60,1.030,false,semente 20260820
DADOS SIMULADOS,S030,B,E1,7.0,0.80,video,60,0.998,false,semente 20260820
DADOS SIMULADOS,S031,B,E1,7.0,0.80,video,60,1.016,false,semente 20260820
DADOS SIMULADOS,S032,B,E1,7.0,0.80,video,60,1.009,false,semente 20260820
DADOS SIMULADOS,S033,A,E1,7.0,1.00,video,60,1.108,false,semente 20260820
DADOS SIMULADOS,S034,A,E1,7.0,1.00,video,60,1.121,false,semente 20260820
DADOS SIMULADOS,S035,A,E1,7.0,1.00,video,60,1.139,false,semente 20260820
DADOS SIMULADOS,S036,A,E1,7.0,1.00,video,60,1.132,false,semente 20260820
DADOS SIMULADOS,S037,B,E1,7.0,1.00,video,60,1.151,false,semente 20260820
DADOS SIMULADOS,S038,B,E1,7.0,1.00,video,60,1.115,false,semente 20260820
DADOS SIMULADOS,S039,B,E1,7.0,1.00,video,60,1.136,false,semente 20260820
DADOS SIMULADOS,S040,B,E1,7.0,1.00,video,60,1.128,false,semente 20260820
