status,run_id,tempo_s,posicao_m,residuo_linear_m,residuo_quadratico_m
DADOS SIMULADOS,S001,0.493,0.2,0.0517074127163491,0.008281306854144077
DADOS SIMULADOS,S002,0.502,0.2,0.04020382835175612,0.0012716972377484759
DADOS SIMULADOS,S003,0.511,0.2,0.028700243987163254,-0.0058647193867829295
DADOS SIMULADOS,S004,0.506,0.2,0.035091124189714884,-0.0018843882980758564
DADOS SIMULADOS,S005,0.518,0.2,0.01975301170359095,-0.011502934692969147
DADOS SIMULADOS,S006,0.497,0.2,0.04659470855430775,0.005181579988602303
DADOS SIMULADOS,S007,0.509,0.2,0.03125659606818382,-0.00426789039544323
DADOS SIMULADOS,S008,0.512,0.2,0.02742206794665286,-0.006665482160381209
DADOS SIMULADOS,S009,0.698,0.4,-0.0103186755882676,0.017166707647994828
DADOS SIMULADOS,S010,0.711,0.4,-0.026934964114901816,0.0028289053762450833
DADOS SIMULADOS,S011,0.722,0.4,-0.04099490056051547,-0.009509729619092022
DADOS SIMULADOS,S012,0.716,0.4,-0.033325844317453446,-0.0027560822968965004
DADOS SIMULADOS,S013,0.729,0.4,-0.04994213284408766,-0.017460215925482858
DADOS SIMULADOS,S014,0.705,0.4,-0.019265907871839905,0.009479228469589318
DADOS SIMULADOS,S015,0.718,0.4,-0.03588219639847412,-0.005001035996485825
DADOS SIMULADOS,S016,0.713,0.4,-0.02949131619592249,0.000599606862845381
DADOS SIMULADOS,S017,0.856,0.6,-0.012270489988899014,0.024974248872691063
DADOS SIMULADOS,S018,0.869,0.6,-0.02888677851553334,0.0074208713575966145
DADOS SIMULADOS,S019,0.881,0.6,-0.04422489100165716,-0.009017074141488557
DADOS SIMULADOS,S020,0.875,0.6,-0.03655583475859525,-0.000769922056804706
DADOS SIMULADOS,S021,0.893,0.6,-0.05956300348778121,-0.025680454321704183
DADOS SIMULADOS,S022,0.862,0.6,-0.019939546231961147,0.016905565910568687
DADOS SIMULADOS,S023,0.878,0.6,-0.04039036288012632,-0.004886453265361412
DADOS SIMULADOS,S024,0.87,0.6,-0.03016495455604362,0.006059652918410374
DADOS SIMULADOS,S025,0.991,0.8,0.015175744542207048,0.02979712885033936
DADOS SIMULADOS,S026,1.004,0.8,-0.0014405439844272783,0.009496266158969147
DADOS SIMULADOS,S027,1.021,0.8,-0.02316953667310273,-0.017450223069888082
DADOS SIMULADOS,S028,1.013,0.8,-0.012944128349020034,-0.004713163586025693
DADOS SIMULADOS,S029,1.03,0.8,-0.03467312103769571,-0.03189917716358415
DADOS SIMULADOS,S030,0.998,0.8,0.006228512258634633,0.018898770984445812
DADOS SIMULADOS,S031,1.016,0.8,-0.0167786564705511,-0.009477819502832108
DADOS SIMULADOS,S032,1.009,0.8,-0.007831424186978686,0.0016177937090505745
DADOS SIMULADOS,S033,1.108,1.0,0.06562914780249873,0.03756474935025189
DADOS SIMULADOS,S034,1.121,1.0,0.04901285927586463,0.01488273283944308
DADOS SIMULADOS,S035,1.139,1.0,0.026005690546678673,-0.016959915870213393
DADOS SIMULADOS,S036,1.132,1.0,0.03495292283025109,-0.004516391127405539
DADOS SIMULADOS,S037,1.151,1.0,0.01066757806055485,-0.03847014169473062
DADOS SIMULADOS,S038,1.115,1.0,0.05668191551892654,0.02538423173543003
DADOS SIMULADOS,S039,1.136,1.0,0.02984021866820996,-0.011617583583010571
DADOS SIMULADOS,S040,1.128,1.0,0.040065626992292436,0.002559753030295764
